-196.0,-91.5,225.9,210.0,68.6,-69.3
424.0,369.0,-37.0,-95.4,50.3,-50.8
-23.2,43.6,30.5,39.3,103.7,-104.1
19.9,-21.5,38.2,22.5,123.5,-123.6
55.8,-0.5,-92.4,-106.0,44.2,-43.3
55.8,-1.8,111.0,4.5,51.8,-51.9
19.9,-26.9,1.8,40.8,108.3,-108.3
1.8,-3.6,-12.6,-41.4,90.0,-91.0
98.0,5.3,-21.0,-47.3,140.3,-140.7
-78.9,-4.5,1.8,71.4,54.9,-55.9
-78.9,-11.2,-184.8,-176.8,15.2,-16.1
98.0,31.6,156.5,174.0,141.8,-142.4
-337.0,-53.4,-140.0,-20.8,125.0,-124.7
355.0,292.2,-157.5,-208.0,138.7,-137.9
-199.0,-205.2,125.2,217.5,132.7,-133.4
-199.0,-159.6,65.8,184.2,123.5,-123.5
355.0,340.9,61.3,-88.0,140.3,-140.9
155.0,86.0,19.4,38.1,30.5,-30.4
0.1,10.6,2.2,19.0,15.2,-16.0
-40.6,-11.0,18.4,-22.0,71.7,-70.8
-40.6,-9.9,-8.6,-4.4,33.5,-33.6
0.1,7.6,76.3,18.9,3.0,-3.7
-11.3,115.5,-5.3,-45.4,7.6,-6.9
79.6,-23.1,-5.9,-31.8,3.0,-3.0
-70.9,-29.2,98.1,28.3,97.6,-96.7
-70.9,-35.0,-153.9,-94.8,22.9,-22.4
79.6,-8.7,390.6,131.7,73.2,-72.2
-391.0,-420.0,-65.0,-194.0,24.4,-25.1
355.0,39.5,-78.0,-194.0,16.8,-17.2
-189.0,-19.6,303.8,263.4,4.6,-4.7
-189.0,-78.4,22.2,29.8,10.7,-10.9
355.0,276.5,25.4,8.0,93.0,-93.4
233.0,48.9,-11.6,-1.8,25.9,-24.9
-116.0,-20.4,-8.2,-6.1,41.2,-41.0
54.8,4.5,114.3,4.0,24.4,-25.2
54.8,26.8,60.8,27.7,85.4,-85.8
-116.0,-30.6,11.5,24.2,3.0,-4.0
66.6,0.7,-29.9,-17.8,53.4,-54.3
38.4,9.4,-34.2,-53.5,86.9,-87.4
-62.5,0.6,3.8,12.1,56.4,-55.4
-62.5,0.9,-70.8,-345.0,115.9,-116.4
38.4,25.1,108.6,96.4,97.6,-97.1
-539.0,-39.1,-113.4,-172.8,80.8,-80.8
527.0,403.0,-81.0,-86.4,25.9,-25.6
-271.0,-124.2,36.2,192.8,36.6,-36.4
-271.0,-62.1,229.6,183.4,36.6,-36.3
527.0,161.2,-86.8,-63.3,106.7,-106.8
198.0,65.1,56.0,10.5,74.7,-73.8
-73.8,0.0,56.0,7.9,53.4,-53.6
62.3,-2.2,-62.0,-28.1,3.0,-3.1
62.3,-7.7,64.4,9.6,65.6,-65.9
-73.8,0.0,4.1,-30.2,24.4,-24.6
-14.3,-36.4,11.0,-5.1,90.0,-90.3
67.7,207.0,1.4,-1.7,57.9,-57.6
-12.2,-66.6,4.6,-3.4,41.2,-42.1
-12.2,-25.0,-123.9,-326.2,38.1,-38.4
67.7,165.6,81.2,119.1,147.9,-147.6
-290.0,-255.6,-33.2,-133.6,67.1,-67.8
350.0,443.0,-49.8,-150.3,25.9,-25.5
-172.0,-150.5,243.6,277.9,68.6,-68.6
-172.0,-21.5,79.2,96.8,16.8,-17.8
350.0,177.2,-39.4,-2.8,24.4,-23.6
153.0,206.4,5.9,-8.4,144.8,-145.0
17.5,-87.1,29.6,-37.9,65.6,-65.1
9.4,0.6,-43.8,-8.5,70.1,-70.5
9.4,0.3,-78.0,-150.0,126.6,-125.8
17.5,-26.1,51.6,76.8,64.0,-64.1
35.6,93.6,-8.3,-10.4,12.2,-11.8
75.6,-0.8,-18.7,-31.2,25.9,-26.6
-42.2,-0.5,172.0,102.4,149.4,-149.1
-42.2,-0.8,-250.6,-50.9,79.3,-78.6
75.6,-0.8,38.9,80.6,18.3,-19.3
-579.0,-442.0,-132.3,-167.4,9.1,-9.0
483.0,209.5,-113.4,-111.6,106.7,-106.4
-180.0,-42.0,311.2,120.9,61.0,-60.7
-180.0,-105.0,232.0,41.6,67.1,-66.7
483.0,209.5,-29.3,57.0,56.4,-56.9
32.4,160.2,10.4,-15.1,94.5,-94.5
102.0,-36.8,16.6,-27.2,1.5,-2.2
-32.4,21.5,-17.6,38.0,54.9,-54.4
-32.4,3.6,15.7,29.8,67.1,-67.7
102.0,-14.7,56.9,55.5,150.9,-150.4
-54.2,9.6,-13.0,-13.4,73.2,-72.6
125.0,20.4,-13.0,-10.8,6.1,-6.9
-60.6,-23.4,11.4,16.7,10.7,-10.2
-60.6,-10.0,-258.0,-43.6,100.6,-101.2
125.0,13.6,80.0,76.6,90.0,-90.8
-311.0,-99.6,-73.2,-99.0,35.1,-35.2
390.0,248.5,-146.4,-99.0,10.7,-11.7
-210.0,-24.2,320.0,114.9,96.1,-96.6
-210.0,-193.6,139.5,194.4,53.4,-54.2
390.0,497.0,7.1,-36.8,35.1,-34.7
435.0,-144.9,5.8,35.8,115.9,-115.1
-169.0,201.6,14.6,28.6,71.7,-72.4
50.0,-12.7,5.1,-66.2,3.0,-2.5
50.0,-19.0,10.6,167.2,62.5,-63.5
-169.0,112.0,52.5,-69.5,71.7,-71.6
